id_terraza,Superficie_ES,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_aux_es,mesas_aux_ra,mesas_es,mesas_ra,sillas_es,sillas_ra,DESC_CLASE,DESC_NOMBRE,num_terraza,cal_terraza,desc_ubicacion_terraza
32,18.38,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,10,0,20,0,CALLE,AYALA,19,,Acera
33,21.06,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,9,9,27,0,AVENIDA,AMERICA,2,,Acera
34,11.16,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,4,0,14,0,CALLE,ALONSO HEREDIA,25,,Calle peatonal
36,7.2,10:00:00,00:00:00,,,10:00:00,00:00:00,,,0,0,5,0,10,0,CALLE,ALONSO HEREDIA,22,,Calle peatonal
40,25.48,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,1,1,8,8,24,0,CALLE,AYALA,14,,Acera
41,21.04,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,6,6,24,0,CALLE,ALCALA,59,,Acera
44,19.44,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,6,0,24,0,AVENIDA,AMERICA,32,,Acera
50,84.68,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,27,21,92,0,PLAZA,JUAN DE MALASA?A,5,,Plaza peatonal
51,32.98,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,14,0,35,0,CALLE,ALCALA,225,,Acera
52,7.02,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,3,3,9,0,CALLE,ALCALA,127,,Acera
54,21.66,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,6,0,24,0,CALLE,MONCADA,119,,Acera
56,12.96,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,4,0,16,0,CALLE,VILLAJOYOSA,73,,Acera
58,33.65,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,8,0,24,0,CALLE,ALCALA,172,,Acera
59,26.86,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,10,10,20,0,CALLE,ALCALA,105,,Acera
60,34.07,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,8,8,32,0,CALLE,PE?A DE VARGAS,7,,Acera
63,9.72,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,3,0,12,0,CALLE,CONGOSTO,4,,Acera
66,10.23,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:00:00,10:00:00,00:00:00,0,0,4,0,16,0,CALLE,MIERES,13,,Acera
67,36.78,08:00:00,00:00:00,08:00:00,00:00:00,08:00:00,00:00:00,08:00:00,00:00:00,0,0,12,12,47,0,COLONIA,OCCIDENTE,6,,Acera
68,11.19,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,5,0,13,0,PASEO,ALBERTO PALACIOS,77,,Acera
69,5.04,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,8,8,24,0,CALLE,ALCALA,89,,Acera
72,29.16,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,9,0,36,0,AVENIDA,LOGRO?O,337,,Acera
73,97.2,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,30,30,120,0,CALLE,ENTREPE?AS,49,,Acera
74,104.6,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,30,16,112,0,CALLE,SIERRA GORDA,25,,Calle peatonal
76,28.8,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,8,0,32,0,CALLE,BERROCAL,11,,Acera
77,64.12,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,21,21,80,0,PLAZA,CHOZAS DE CANALES,1,,Plaza peatonal
78,47.96,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,11,0,44,0,CALLE,MARIA BARRIENTOS,4,A,Acera
79,29.13,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,10,10,40,0,PASEO,ALBERTO PALACIOS,20,,Acera
80,55.54,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,16,10,56,0,CALLE,LA DEL MANOJO DE ROSAS,44,,Acera
81,32.4,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,15,15,60,0,PASEO,TALLERES,2,,Acera
82,12.96,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,6,6,18,0,PASEO,TALLERES,48,,Acera
83,63.99,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,16,8,64,0,CALLE,LA DEL MANOJO DE ROSAS,102,,Plaza peatonal
84,68.4,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,22,22,88,0,PLAZA,MAYOR DE VILLAVERDE,4,,Plaza peatonal
85,18.72,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:00:00,0,0,8,0,24,0,AVENIDA,OROVILLA,63,,Acera
86,37.0,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,11,11,42,0,CALLE,PAN Y TOROS,11,,Acera
87,45.0,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,7,7,28,0,CALLE,PAN Y TOROS,37,,Acera
88,97.56,10:00:00,01:00:00,08:00:00,00:00:00,10:00:00,02:30:00,08:00:00,00:00:00,0,0,24,24,96,0,CALLE,CASTRILLO DE AZA,9,B,Acera
89,48.6,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,15,15,60,0,CALLE,PUENTELARRA,10,,Acera
91,83.16,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,24,18,96,0,CALLE,PUENTELARRA,8,,Acera
95,58.32,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,18,18,72,0,CALLE,PUENTELARRA,7,A,Acera
98,44.38,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,17,17,68,0,CALLE,FUENTESPINA,6,,Acera
101,25.92,08:00:00,01:30:00,10:00:00,00:00:00,08:00:00,01:30:00,10:00:00,00:00:00,0,0,8,8,32,0,PASEO,ALBERTO PALACIOS,15,,Calle peatonal
102,99.12,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,25,12,84,0,PASEO,ALBERTO PALACIOS,83,,Acera
103,13.2,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,4,4,12,0,CALLE,ANOETA,21,,Acera
104,30.0,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,10,0,30,0,CALLE,CANCHAL,4,,Acera
105,10.08,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,7,7,14,0,PASEO,ALBERTO PALACIOS,39,,Acera
106,8.64,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,6,3,12,0,CALLE,GRAFITO,12,,Acera
107,98.81,08:00:00,01:30:00,,,08:00:00,01:30:00,,,1,0,22,0,88,0,CALLE,ALCOCER,45,A,Bulevar
108,19.44,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,6,6,24,0,CALLE,BENIMAMET,95,,Acera
109,72.5,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,21,21,84,0,CALLE,BERROCAL,3,A,Acera
110,51.84,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,16,16,64,0,CALLE,HERMANDAD DE DONANTES DE SANGRE,1,,Acera
111,97.2,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,30,0,120,0,CALLE,EL HUESPED DEL SEVILLANO,7,,Acera
112,72.0,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,20,20,80,0,CALLE,LA CANCION DEL OLVIDO,2,,Acera
113,57.82,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,22,22,88,0,AVENIDA,LOS ROSALES,94,,Otros
114,27.0,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,7,7,28,0,CALLE,LA DEL MANOJO DE ROSAS,78,,Acera
115,77.76,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,24,0,96,0,PLAZA,MAYOR DE VILLAVERDE,9,,Plaza peatonal
116,21.78,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,6,0,24,0,CALLE,ROCAFORT,22,A,Acera
117,99.84,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,21,21,84,0,CALLE,SAHARA,48,,Otros
119,32.4,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,18,18,63,0,PLAZA,CHOZAS DE CANALES,6,,Plaza peatonal
120,77.0,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,21,21,84,0,CALLE,ROCAFORT,9,B,Plaza peatonal
121,17.36,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,6,6,16,0,PASEO,DELICIAS,132,,Acera
122,37.41,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,9,0,36,0,CALLE,ANCORA,28,,Acera
124,47.81,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,17,0,61,0,PASEO,IMPERIAL,53,,Acera
125,12.96,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,4,4,16,0,CALLE,JAIME EL CONQUISTADOR,11,,Acera
126,37.87,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,12,0,47,0,CALLE,JAIME EL CONQUISTADOR,15,,Acera
127,27.93,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,8,0,26,0,CALLE,JAIME EL CONQUISTADOR,29,,Acera
128,45.22,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,14,14,56,0,CALLE,VALDECANILLAS,49,,Acera
129,39.06,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0,11,20,44,0,CALLE,ANTONIO LOPEZ,101,,Acera
130,18.72,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,8,8,24,0,CALLE,ANTONIO LOPEZ,137,,Acera
131,32.61,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0,10,10,40,0,CALLE,MIRASIERRA,39,,Acera
132,20.77,10:00:00,01:00:00,10:00:00,23:59:00,10:00:00,01:30:00,10:00:00,23:59:00,0,0,10,10,40,0,CALLE,DOLORES BARRANCO,50,,Acera
135,20.52,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,5,5,20,0,CALLE,ANTONIO LOPEZ,131,,Acera
136,16.38,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,7,0,21,0,CALLE,CRISTO DE LA VICTORIA,21,,Acera
137,15.84,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,6,6,20,0,CALLE,SAN FORTUNATO,27,,Acera
138,18.9,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,10,0,25,0,PASEO,ACACIAS,3,,Acera
145,50.86,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:00:00,10:00:00,00:00:00,0,0,12,12,48,0,CALLE,BERZOSA DE LOZOYA,1,,Acera
146,12.96,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,4,4,16,0,PASEO,IMPERIAL,50,,Acera
147,76.5,10:00:00,00:00:00,,,10:00:00,00:00:00,,,0,0,30,0,97,0,CALLE,ESTEFANITA,22,,Acera
148,8.47,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,5,5,16,0,AVENIDA,MANZANARES,212,,Acera
149,19.46,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,8,8,31,0,CALLE,MARTIN DE LOS HEROS,11,,Acera
151,23.04,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,16,16,32,0,CALLE,ANTONIO LOPEZ,201,,Acera
152,51.3,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,15,15,60,0,CALLE,ANTONIO LOPEZ,204,,Acera
153,22.8,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,01:30:00,10:00:00,00:00:00,0,0,7,8,25,0,AVENIDA,LOS ROSALES,16,A,Acera
154,60.01,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,17,0,68,0,CALLE,SAN FILIBERTO,8,,Plaza peatonal
155,48.59,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,15,15,60,0,CALLE,DOLORES SOPE?A,1,,Acera
156,28.08,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,12,0,36,0,CALLE,PADRE JOSE MARIA,2,,Acera
157,25.92,10:00:00,01:00:00,,,10:00:00,02:30:00,,,0,0,8,0,32,0,PLAZA,MIL DELEGADOS,1,,Plaza peatonal
159,64.03,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,16,16,64,0,CALLE,BOHEMIOS,12,,Calle peatonal
160,37.73,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,12,0,48,0,CALLE,ESCORIAZA,5,,Acera
161,93.96,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,10,29,36,0,CALLE,LA CANCION DEL OLVIDO,1,,Superficie en parcela privada
163,75.42,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,25,17,76,0,CALLE,LA DOLOROSA,11,,Otros
164,21.06,08:00:00,01:30:00,10:00:00,00:00:00,08:00:00,01:30:00,10:00:00,00:00:00,0,0,9,0,27,0,CALLE,DOMINGO PARRAGA,6,,Acera
165,53.2,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,15,5,54,0,CALLE,PAN Y TOROS,37,,Acera
167,184.02,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,38,8,152,0,CALLE,SAHARA,50,,Otros
168,95.7,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,20,20,80,0,CALLE,SAHARA,56,,Otros
171,39.64,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,8,8,32,0,CALLE,VILLAJOYOSA,63,,Acera
172,40.05,08:00:00,01:30:00,,,08:00:00,01:30:00,,,0,0,11,0,44,0,CALLE,GODELLA,251,,Acera
173,31.34,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,11,5,34,0,CALLE,VIRGEN DE LOS DESAMPARADOS,38,,Acera
175,44.64,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,14,14,38,0,CALLE,FERROCARRIL,19,,Acera
177,94.07,10:00:00,01:00:00,10:00:00,00:00:00,10:00:00,02:30:00,10:00:00,00:00:00,0,0,26,26,104,0,PLAZA,GENERAL MAROTO,1,,Acera
179,90.72,08:00:00,01:30:00,08:00:00,01:00:00,08:00:00,01:30:00,08:00:00,01:00:00,0,0,28,28,107,0,PASEO,JUAN ANTONIO VALLEJO-NAJERA BOTAS,18,,Bulevar
